French Word/Phrase,English Word/Phrase
un chien, a dog
a cat, un chat
un poisson rouge, a goldfish
un lapin, a rabbit
une souris, a mouse
un perroquet, a parrot
un hamster, a hamster
une vache, a cow
un taureau, a bull
un boeuf, an ox
un veau, a calf
un mouton, a sheep 
une brebis, an ewe
un agneau, a lamb
une chevre, a goat
un porc, a pig
un cochon, a pig
une truie, a sow
un cheval, a horse
une jument,  a mare
un poulet, a chicken
une poule, a hen 
un canard, a duck
une oie, a goose
un ane, a donkey
